Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Shows genuine concern for team members,Seeks input from team members,"Responds in a timely manner (emails, phone calls, etc.)","Treats people fairly, without showing favoritism",Protects confidentiality,Recognizes and rewards my individual contributions in a manner meaningful to me,"Supports a team environment by recognizing and rewarding collaboration, cooperation and activities contributing to others' success",Considers the impact of actions and decisions on others before implementing,Encourages others to express different ideas and perspectives,Is open to other perspectives and is willing to change their position when presented with compelling information,Open to negative and/or constructive feedback,Gives open and constructive feedback,Shows respect for others and their ideas,Lets me know how I am doing,Involves me in decision-making when appropriate,Sets a clear direction for our department/organization,Provides clear and consistent direction to me when I ask for guidance,"Encourages and supports my involvement in training and development activities, company activities and events",Allows for flexibility in how work is accomplished,Actions and behaviors are consistent with words,Is trustworthy,Creates an atmosphere of mutual trust,"Demonstrates honest, ethical behavior at all times",Is a role model for continuous improvement,Supports a customer service approach for both internal and external customers,Deals with issues that need to be addressed,"Provides a clear sense of purpose and direction, roles and responsibilities, for me individually and for our group team members",Communicates a clear vision with recognizable goals for the organization and staff,States expectations clearly and confirms understanding,Expects staff to be accountable and offers support,Translates organizational goals practically and meaningfully for staff at all levels of the organization,Makes and communicates decisions promptly,Involves others in planning actions,Delegates in a way that encourages others to have full ownership,Appropriately provides authority to others to make decisions,"Demonstrates accuracy, thoroughness and attention to detail in their work",Supports and demonstrates efficient management of personal stress levels,"Manages impending change, real or rumored, efficiently",Uses time constructively and efficiently,Helps people by listening without pre-judging,Has excellent relationships with MWSE team members regardless of position in the organization,Is accessible for communication,Encourages staff to communicate their differing opinions,Maintains a level of professionalism when handling difficult situations,Do you have any additional feedback?
1.14377E+11,426890405,7/27/2023 9:54,7/27/2023 9:56,198.108.155.98,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.14377E+11,426890405,7/27/2023 8:13,7/27/2023 8:30,207.73.66.34,,,,,4,6,6,6,6,6,6,6,6,6,6,6,4,6,6,4,6,6,6,4,6,6,6,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,3,6,
1.14376E+11,426890405,7/26/2023 13:11,7/26/2023 13:18,198.109.180.114,,,,,6,4,4,6,6,6,6,6,6,3,6,6,3,3,6,4,5,6,6,6,6,6,6,5,4,5,4,4,4,4,4,4,6,6,6,4,6,6,4,6,6,4,6,3,"overall, very satisfied. she gets things done."
1.14376E+11,426890405,7/26/2023 11:56,7/26/2023 12:04,207.73.66.34,,,,,2,3,2,1,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,6,2,6,2,2,3,3,2,3,2,3,2,6,3,6,2,6,6,6,6,2,3,Favoritism is shown to Sunshine who doesn't treat staff well but it doesn't seem to matter. 
1.14376E+11,426890405,7/26/2023 9:06,7/26/2023 9:15,207.73.66.34,,,,,2,6,3,1,2,2,1,1,3,3,1,3,2,6,6,3,3,6,3,1,1,1,1,1,1,3,3,3,3,2,3,3,6,6,1,4,3,3,3,1,2,3,3,6,
1.14376E+11,426890405,7/26/2023 9:11,7/26/2023 9:13,207.74.181.58,,,,,4,4,4,4,4,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,6,4,
1.14376E+11,426890405,7/26/2023 9:08,7/26/2023 9:12,198.108.155.98,,,,,6,6,3,6,6,6,6,6,3,3,6,3,3,6,6,3,3,3,6,6,6,6,6,3,6,6,3,3,3,3,3,3,6,6,6,3,6,3,6,6,6,3,3,6,
1.14376E+11,426890405,7/26/2023 9:08,7/26/2023 9:12,68.49.97.139,,,,,5,5,5,4,4,4,4,4,5,5,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,3,5,4,4,5,5,5,4,4,
1.14374E+11,426890405,7/24/2023 16:21,7/24/2023 16:45,198.109.180.114,,,,,3,5,3,2,6,6,3,2,3,1,3,3,3,6,6,3,6,6,1,2,3,2,3,3,3,3,3,3,3,3,3,2,1,2,6,5,6,2,6,2,3,5,5,2,"*oversees area of organization that are outside her scope; HR should handle some of issues she does  *doesn't really compromise well-not open to new ways of doing things or other folks' input/her way or highway, this kind of decreases morale around here  *should be a leader and not oversee some of the day to day stuff she does  *plays favorites "
1.14374E+11,426890405,7/24/2023 9:36,7/24/2023 9:41,198.109.195.34,,,,,3,3,6,6,6,6,3,6,3,6,6,6,6,6,6,3,6,6,6,3,6,3,3,4,3,6,3,4,6,6,4,6,6,6,6,6,3,6,6,6,3,6,6,4,
1.14374E+11,426890405,7/24/2023 8:40,7/24/2023 8:42,207.74.181.58,,,,,5,4,5,4,4,4,4,4,4,4,6,4,4,3,4,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,5,5,4,5,6,6,5,5,4,5,
1.14371E+11,426890405,7/19/2023 16:22,7/19/2023 16:26,72.173.212.110,,,,,3,3,3,3,3,3,4,4,4,3,3,3,4,3,6,4,6,6,3,3,3,3,3,3,4,3,4,4,4,3,4,3,6,4,3,3,3,3,3,3,3,3,3,4,
1.14371E+11,426890405,7/19/2023 12:46,7/19/2023 12:52,207.73.66.34,,,,,4,4,4,4,3,5,5,4,3,3,2,3,3,3,5,4,4,5,5,5,3,3,4,5,5,2,4,4,4,4,4,4,4,4,3,4,3,3,3,2,3,3,2,4,
1.14371E+11,426890405,7/19/2023 9:28,7/19/2023 9:42,207.74.181.58,,,,,3,3,3,2,6,6,6,2,6,6,3,3,3,6,6,6,4,6,6,3,3,3,3,3,6,2,4,3,6,3,4,6,6,6,6,3,6,2,6,3,3,2,3,6,Would be helpful to support others and get recommendations when a decision effects another department. Needs to listen to experience staff about concerns for new hire and problems that are being shared. 
1.14371E+11,426890405,7/19/2023 9:37,7/19/2023 9:41,73.190.26.25,,,,,5,6,5,5,6,5,5,6,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6,6,6,6,6,5,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,
1.1437E+11,426890405,7/18/2023 16:28,7/18/2023 16:36,198.109.195.34,,,,,4,3,4,3,5,3,4,3,2,2,3,6,4,3,6,4,4,4,2,4,4,4,4,4,4,3,3,3,3,3,3,3,6,6,6,3,4,3,3,3,4,4,4,6,
1.1437E+11,426890405,7/18/2023 12:45,7/18/2023 12:59,198.108.155.98,,,,,4,4,3,6,6,6,6,6,3,4,6,3,3,6,4,2,4,6,3,4,3,4,6,6,6,3,6,3,6,6,6,3,6,6,6,6,6,6,6,3,4,4,3,6,"Most responses are N/A because I don't work with Misty in that capacity. Most questions seem to be better suited to management rather than staff that working in lower paid positions since we don't interact with Misty on that level as MWSE structure is set up - Staff support - Career Advisor/Front Desk, Employment Services, Business Services, SCM, Deputy Director and Director Manager not leaving alot of interaction at a lower level. Misty is a very nice, warm and welcoming manager and makes herself available to answer questions and problem solve."
1.1437E+11,426890405,7/18/2023 9:38,7/18/2023 9:43,207.74.181.58,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,,,,3,3,3,3,3,3,3,,3,3,3,3,3,,3,,3,,,,,,3,,3,
1.1437E+11,426890405,7/18/2023 9:24,7/18/2023 9:32,207.74.181.58,,,,,2,2,2,2,4,6,3,2,3,3,6,,3,3,,2,,4,,2,,,,,3,,,3,,,,,,,,,,,,,,,,3,
1.1437E+11,426890405,7/18/2023 9:26,7/18/2023 9:29,198.109.180.114,,,,,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.1437E+11,426890405,7/18/2023 8:24,7/18/2023 8:54,107.5.71.29,,,,,3,3,3,2,4,4,3,2,3,3,3,3,3,3,2,3,6,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,6,3,3,3,4,3,4,4,3,3,6,3,not at this time
1.14369E+11,426890405,7/17/2023 15:09,7/17/2023 15:14,198.109.180.114,,,,,4,3,3,4,6,3,4,3,3,3,3,3,3,3,6,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,3,3,3,3,3,4,3,3,3,
1.14369E+11,426890405,7/17/2023 11:51,7/17/2023 11:58,198.109.195.34,,,,,3,3,3,3,4,3,3,6,3,3,6,6,3,6,6,3,6,3,3,3,3,6,6,6,3,3,3,6,3,3,3,3,6,6,6,3,6,3,6,6,3,3,6,6,
1.14369E+11,426890405,7/17/2023 11:16,7/17/2023 11:18,198.109.195.34,,,,,5,4,4,3,5,3,4,4,4,4,6,5,4,3,6,4,3,3,4,4,5,4,5,4,3,6,4,5,3,6,5,4,4,3,4,3,4,3,4,3,4,4,3,4,
1.14369E+11,426890405,7/17/2023 8:59,7/17/2023 9:05,207.73.66.34,,,,,4,3,4,3,3,4,4,3,3,3,6,6,6,3,6,3,6,3,1,6,6,6,6,6,3,6,3,3,6,6,3,3,6,6,6,6,6,3,6,6,3,2,3,2,Any of the N/A's are due to not having enough interactions to be able to give a rating. 
1.14369E+11,426890405,7/17/2023 8:08,7/17/2023 8:10,198.109.195.34,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
1.14368E+11,426890405,7/14/2023 16:08,7/14/2023 16:11,67.167.155.47,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
1.14368E+11,426890405,7/14/2023 15:51,7/14/2023 15:56,207.74.181.58,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.14368E+11,426890405,7/14/2023 15:27,7/14/2023 15:33,198.109.195.34,,,,,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.14368E+11,426890405,7/14/2023 15:19,7/14/2023 15:22,207.74.181.58,,,,,4,4,4,3,3,3,4,3,4,4,3,4,4,3,3,3,4,4,6,4,3,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,4,4,3,4,4,4,4,4,N/A
1.14368E+11,426890405,7/14/2023 15:16,7/14/2023 15:21,198.109.180.114,,,,,5,5,5,5,5,4,4,4,4,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,I am Happy :-)
1.14368E+11,426890405,7/14/2023 15:17,7/14/2023 15:19,198.109.195.34,,,,,4,4,3,4,5,3,5,3,5,4,3,3,4,3,3,4,3,3,3,3,4,5,5,5,5,4,4,4,4,3,5,3,3,3,4,3,3,3,4,5,5,3,4,4,
1.14368E+11,426890405,7/14/2023 14:58,7/14/2023 15:19,198.109.195.34,,,,,5,5,5,5,5,5,5,4,5,4,4,5,5,4,3,5,4,4,5,5,5,5,5,4,4,5,5,5,5,6,5,5,5,6,5,5,4,5,4,5,5,5,5,5,
1.14368E+11,426890405,7/14/2023 14:54,7/14/2023 15:07,198.108.155.98,,,,,3,4,5,4,5,3,6,4,3,3,3,4,3,3,3,4,4,4,3,4,3,3,3,3,5,4,6,4,4,4,3,4,3,3,6,4,3,4,4,3,3,4,3,6,
1.14368E+11,426890405,7/14/2023 14:46,7/14/2023 14:52,207.74.181.58,,,,,5,4,4,6,6,4,5,5,6,6,6,4,5,6,4,5,6,5,4,5,6,4,6,6,5,4,4,5,5,4,4,6,5,6,6,5,4,5,4,6,5,4,4,5,Very professional and sets a great example for others.
1.14368E+11,426890405,7/14/2023 14:38,7/14/2023 14:52,207.73.66.34,,,,,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,Misty is awesome! That is it.
1.14368E+11,426890405,7/14/2023 14:37,7/14/2023 14:42,72.105.52.101,,,,,3,6,4,6,3,6,6,4,6,6,6,3,3,6,6,3,3,3,6,3,6,6,3,3,3,3,6,3,3,3,3,3,6,2,6,3,6,3,3,6,6,3,3,3,
