Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Shows genuine concern for team members,Seeks input from team members,"Responds in a timely manner (emails, phone calls, etc.)","Treats people fairly, without showing favoritism",Protects confidentiality,Recognizes and rewards my individual contributions in a manner meaningful to me,"Supports a team environment by recognizing and rewarding collaboration, cooperation and activities contributing to others' success",Considers the impact of actions and decisions on others before implementing,Encourages others to express different ideas and perspectives,Is open to other perspectives and is willing to change their position when presented with compelling information,Open to negative and/or constructive feedback,Gives open and constructive feedback,Shows respect for others and their ideas,Lets me know how I am doing,Involves me in decision-making when appropriate,Sets a clear direction for our department/organization,Provides clear and consistent direction to me when I ask for guidance,"Encourages and supports my involvement in training and development activities, company activities and events",Allows for flexibility in how work is accomplished,Actions and behaviors are consistent with words,Is trustworthy,Creates an atmosphere of mutual trust,"Demonstrates honest, ethical behavior at all times",Is a role model for continuous improvement,Supports a customer service approach for both internal and external customers,Deals with issues that need to be addressed,"Provides a clear sense of purpose and direction, roles and responsibilities, for me individually and for our group team members",Communicates a clear vision with recognizable goals for the organization and staff,States expectations clearly and confirms understanding,Expects staff to be accountable and offers support,Translates organizational goals practically and meaningfully for staff at all levels of the organization,Makes and communicates decisions promptly,Involves others in planning actions,Delegates in a way that encourages others to have full ownership,Appropriately provides authority to others to make decisions,"Demonstrates accuracy, thoroughness and attention to detail in their work",Supports and demonstrates efficient management of personal stress levels,"Manages impending change, real or rumored, efficiently",Uses time constructively and efficiently,Helps people by listening without pre-judging,Has excellent relationships with MWSE team members regardless of position in the organization,Is accessible for communication,Encourages staff to communicate their differing opinions,Maintains a level of professionalism when handling difficult situations,Do you have any additional feedback?
1.18379E+11,451986852,7/26/2023 9:03,7/26/2023 9:08,68.49.97.139,,,,,5,4,4,5,4,5,4,4,4,4,4,4,5,4,5,4,5,4,4,4,4,4,5,4,5,5,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4,4,questionnaire is a little long.
1.18379E+11,451986852,7/26/2023 9:02,7/26/2023 9:08,198.108.155.98,,,,,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,6,3,6,6,6,3,3,3,3,6,6,3,3,3,6,3,6,6,6,3,6,6,6,6,3,3,3,3,6,
1.18379E+11,451986852,7/26/2023 8:57,7/26/2023 9:02,207.74.181.58,,,,,3,3,6,3,3,4,4,3,3,6,6,3,3,6,6,3,6,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,6,3,3,3,6,3,
1.18379E+11,451986852,7/26/2023 8:57,7/26/2023 9:00,198.109.195.34,,,,,4,3,6,2,4,4,2,3,3,3,3,3,3,3,3,3,6,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,2,3,3,3,3,
1.18378E+11,451986852,7/25/2023 8:40,7/25/2023 8:58,198.108.155.98,,,,,4,4,6,3,6,6,6,6,6,6,6,6,3,6,6,6,6,3,6,6,6,3,6,6,6,6,6,6,2,3,3,6,6,6,3,6,6,6,6,3,3,6,6,6,"Questions answered with N/A don't really seem apply to entry level staff - ie csr, ca's, feed back from customers seems to be serious and no defense for the staff that have direct dealing w/the situations. Don't really see Director too often outside of all staff meetings. He has a lot of responsibilities and doing a good job. Goals seem to be demanded and not really talked about how and why maybe easier for some and harder for others, what about additional support."
1.18377E+11,451986852,7/24/2023 16:15,7/24/2023 16:19,198.109.180.114,,,,,5,4,6,6,6,5,5,6,5,6,5,6,5,6,6,4,6,6,3,5,6,5,5,5,4,6,4,4,6,5,3,3,5,6,6,6,5,6,6,5,5,5,5,6,
1.18377E+11,451986852,7/24/2023 10:11,7/24/2023 10:15,198.109.195.34,,,,,5,5,3,5,5,4,5,5,5,4,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,5,5,3,5,5,
1.18377E+11,451986852,7/24/2023 8:34,7/24/2023 8:38,207.74.181.58,,,,,4,4,4,4,4,3,4,4,4,4,6,3,4,3,4,3,3,4,5,5,5,4,4,4,4,5,3,4,4,4,4,4,4,4,4,5,4,4,6,6,4,5,4,4,
1.18373E+11,451986852,7/19/2023 12:52,7/19/2023 12:56,207.73.66.34,,,,,3,2,2,3,3,2,3,2,2,2,2,2,3,3,3,2,3,4,4,3,3,3,3,2,4,1,2,3,3,2,2,1,2,2,3,1,2,2,2,4,4,3,2,3,
1.18373E+11,451986852,7/19/2023 9:21,7/19/2023 9:42,207.74.181.58,,,,,4,3,3,3,4,4,3,2,3,6,3,3,4,4,6,2,3,6,4,2,3,3,3,2,4,2,2,4,3,2,4,2,6,6,3,2,3,2,2,3,3,3,3,6,Need to listen to experienced staff about new hires and problems. Seem to delay in response to concerns of other employees or address the situation correctly. 
1.18373E+11,451986852,7/19/2023 9:32,7/19/2023 9:37,73.190.26.25,,,,,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,
1.18373E+11,451986852,7/19/2023 8:42,7/19/2023 8:46,198.108.155.98,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.18373E+11,451986852,7/19/2023 8:28,7/19/2023 8:43,198.108.155.98,,,,,4,4,4,4,4,5,4,3,4,4,6,4,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,6,6,5,4,4,5,4,5,5,4,4,No
1.18372E+11,451986852,7/18/2023 16:26,7/18/2023 16:39,207.73.66.34,,,,,4,4,4,4,6,3,4,4,4,6,6,6,4,6,4,4,4,4,2,5,5,5,5,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,5,5,No
1.18372E+11,451986852,7/18/2023 9:43,7/18/2023 9:48,207.74.181.58,,,,,3,3,3,3,3,3,3,3,3,,3,,3,,,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,3,,,3,,3,3,3,3,
1.18372E+11,451986852,7/18/2023 9:32,7/18/2023 9:42,207.74.181.58,,,,,3,2,,3,3,3,3,,3,,3,,3,,,3,,3,,,3,,,3,3,2,,3,3,3,3,,,,,,,,,3,3,,,,
1.18372E+11,451986852,7/18/2023 9:29,7/18/2023 9:31,198.109.180.114,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.18372E+11,451986852,7/18/2023 8:56,7/18/2023 9:01,107.5.71.29,,,,,3,6,3,3,3,3,3,3,3,3,3,3,3,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,6,3,3,3,3,3,3,3,3,3,not at this time
1.18371E+11,451986852,7/17/2023 15:17,7/17/2023 15:21,198.109.180.114,,,,,4,3,3,3,3,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3,3,3,3,4,3,3,3,
1.18371E+11,451986852,7/17/2023 11:45,7/17/2023 11:51,198.109.195.34,,,,,4,4,6,3,3,3,4,4,3,3,4,4,3,3,4,4,3,4,4,4,3,3,3,4,4,3,3,4,3,3,3,3,6,3,4,3,3,4,6,3,3,3,3,3,
1.18371E+11,451986852,7/17/2023 11:36,7/17/2023 11:45,198.109.195.34,,,,,5,4,4,5,4,5,5,5,4,4,4,4,5,4,6,5,4,5,3,5,5,5,5,4,5,4,4,5,5,5,5,4,4,4,4,4,4,4,6,4,5,4,4,5,
1.18371E+11,451986852,7/17/2023 11:18,7/17/2023 11:21,198.109.195.34,,,,,5,5,5,5,1,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Education should not be held against a person to be able to move up in the company 
1.18371E+11,451986852,7/17/2023 11:18,7/17/2023 11:21,71.197.19.137,,,,,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Shamar is excellent at what he does day in and day out!!
1.18371E+11,451986852,7/17/2023 10:59,7/17/2023 11:15,198.109.195.34,,,,,3,2,2,4,4,2,3,2,3,3,4,6,3,2,2,3,6,4,3,2,3,3,4,3,2,2,2,4,4,4,4,2,2,3,3,3,4,4,4,4,4,3,3,3,"Challenging/chastising us for not getting back with people in a timely manner, but not asking why we're not responding to people. Also, is the idea mill functioning anymore? Are we still taking suggestions on improvements? A lot of manufacturers and other companies have a process for suggestions for improvements, but it seems like our process as fallen off.    I do appreciate Shamar's energy and concern for each individual."
1.18371E+11,451986852,7/17/2023 9:06,7/17/2023 9:10,207.73.66.34,,,,,5,3,3,3,3,6,3,3,3,4,6,6,3,6,6,4,6,4,2,3,3,3,6,4,4,6,3,5,4,5,5,5,6,6,6,4,5,6,6,6,5,6,6,4,Any N/A's are due to not being around Shamar enough/knowing him well enough to give a rating on these. 
1.18371E+11,451986852,7/17/2023 8:02,7/17/2023 8:08,198.109.195.34,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
1.18369E+11,451986852,7/14/2023 16:04,7/14/2023 16:08,67.167.155.47,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,He is doing a good job.
1.18369E+11,451986852,7/14/2023 15:57,7/14/2023 16:00,207.74.181.58,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1.18369E+11,451986852,7/14/2023 15:14,7/14/2023 15:18,207.74.181.58,,,,,4,3,3,4,4,6,4,3,4,4,3,3,4,3,3,3,3,3,6,3,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,4,4,4,4,3,N/A
1.18369E+11,451986852,7/14/2023 15:13,7/14/2023 15:16,198.109.195.34,,,,,4,4,3,5,5,3,4,4,5,5,4,4,4,4,4,4,3,3,3,4,4,5,5,5,4,4,4,4,4,4,5,4,4,3,3,3,3,3,4,4,5,4,,4,
1.18369E+11,451986852,7/14/2023 15:11,7/14/2023 15:15,198.109.180.114,,,,,5,5,4,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,I am Happy :-)
1.18369E+11,451986852,7/14/2023 14:38,7/14/2023 14:56,198.109.195.34,,,,,5,5,5,5,5,5,5,4,5,4,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,6,5,5,5,5,5,5,Keep up the good work and I am blessed to be part of this organization
1.18369E+11,451986852,7/14/2023 14:40,7/14/2023 14:53,198.108.155.98,,,,,6,2,3,3,3,1,1,3,3,3,3,3,2,6,2,3,3,3,3,3,2,2,3,6,3,3,3,3,3,3,3,3,2,3,6,6,3,3,3,2,3,3,3,3,
1.18369E+11,451986852,7/14/2023 14:43,7/14/2023 14:46,72.105.52.101,,,,,4,6,2,6,3,3,3,3,3,6,6,3,3,6,6,3,6,3,6,3,3,6,3,3,3,3,6,3,3,3,3,6,6,6,6,2,6,3,2,6,3,6,3,3,
1.18369E+11,451986852,7/14/2023 14:38,7/14/2023 14:45,207.74.181.58,,,,,5,4,5,4,6,4,5,4,5,6,6,5,5,4,5,4,6,5,5,5,6,5,5,5,5,5,4,5,5,5,5,4,4,4,6,5,5,5,6,6,5,5,6,5,"I think Shamar does anexcellent job overall, however, I am too distant to be able to rate some of the questions, hence N/As."
